Supplier,Supplier Industry,Supplier Country,Customer,Customer Industry,Customer Country,Relationship1,Relationship2,Relationship3
Vallourec SACA,Steel,France,Sonatrach Group,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Eni SpA,Oil & Gas Producers,Italy,Groupement Sonatrach Agip,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Eni SpA,Oil & Gas Producers,Italy,Sonatrach Group,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Societe Algerienne de L'Electricite et du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,Societe Algerienne de L'Electricite et du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Samsung C&T Corp,Engineering & Construction,South Korea,Societe Nationale de I Electricite & Du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Usinas Siderurgicas de Minas Gerais SA USIMINAS,Steel,Brazil,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Kyushu Electric Power Co Inc,Electric Utilities,Japan,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Transportadora Gas del Norte SA,Gas & Water Utilities,Argentina,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,Profertil SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Refinor SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,Refinor SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Ternium Argentina SA,Steel,Argentina,Tecpetrol SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Transportadora Gas del Norte SA,Gas & Water Utilities,Argentina,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Transportadora de Gas del Sur SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,YPF Energia Electrica SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
BHP Group Ltd,Metals & Mining,Australia,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Vale SA,Metals & Mining,Brazil,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Nutrien Ltd,Chemicals,Canada,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Methanex Corp,Chemicals,Canada,YPF SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Enel Distribucion Chile SA,Electric Utilities,Chile,Empresa Distribuidora Sur SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Cia General de Electricidad SA,Electric Utilities,Chile,MetroGas SA,Gas & Water Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Empresas Copec SA,Oil & Gas Producers,Chile,MetroGas SA,Gas & Water Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,Aluan Aluminio Argentino SAIC,Metals & Mining,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,YPF Energia Electrica SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Wartsila OYJ Abp,Machinery,Finland,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Electricite de France SA,Electric Utilities,France,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
TotalEnergies SE,Oil & Gas Producers,France,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Siemens AG,Diversified Industrials,Germany,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
thyssenkrupp AG,Steel,Germany,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Enel SpA,Electric Utilities,Italy,Enel Generacion Costanera SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Mitsubishi Heavy Industries Ltd,Diversified Industrials,Japan,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Tenaris SA,Steel,Luxembourg,Pluspetrol SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Tenaris SA,Steel,Luxembourg,Tecpetrol SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Tenaris SA,Steel,Luxembourg,Transportadora Gas del Norte SA,Gas & Water Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Tenaris SA,Steel,Luxembourg,YPF SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Grupo Pochteca SAB de CV,Chemicals,Mexico,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Air Liquide SA,Chemicals,Spain,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Air Liquide SA,Chemicals,Spain,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Repsol SA,Oil & Gas Producers,Spain,YPF SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
SKF AB,Industrial Intermediate Prod,Sweden,Carlos Mainero y Cia Saicfi,Machinery,Argentina,suppliesTo,locatedIn,operatesIn
Holcim AG,Construction Materials,Switzerland,Holcim Argentina SA,Construction Materials,Argentina,suppliesTo,locatedIn,operatesIn
Celanese Corp,Chemicals,USA,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Dow Inc,Chemicals,USA,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
KBR Inc,Technology Services,USA,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Sempra,Electric Utilities,USA,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
WEC Energy Group Inc,Electric Utilities,USA,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Newmont Corp,Metals & Mining,USA,Cia de Minas Buenaventura SAA,Metals & Mining,Argentina,suppliesTo,locatedIn,operatesIn
Industrias CH SAB de CV,Steel,Mexico,ACN 004 410 833 Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,MMG Lkl,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
CAP SA,Metals & Mining,Chile,ACN 004 410 833 Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Metallurgical Corp of China Ltd,Engineering & Construction,China,MMG Lkl,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Minmetals Development Co Ltd,Metals & Mining,China,MMG Lkl,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
NextEra Energy Inc Inc,Electric Utilities,USA,Boral Ltd,Construction Materials,Australia,suppliesTo,locatedIn,operatesIn
Otter Tail Corp,Electric Utilities,USA,Boral Ltd,Construction Materials,Australia,suppliesTo,locatedIn,operatesIn
Alco Ltd/Canada,Electric Utilities,Canada,Newcrest Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Vallourec SACA,Steel,France,Woodside Energy Group Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Perusahaan Perseroan Persero PT Perusahaan Listrik Negara,Electric Utilities,Indonesia,Energy World Corp Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Hitachi Ltd,Diversified Industrials,Japan,Macmahon Holdings Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
SK Chemicals Co Ltd,Chemicals,South Korea,CSL Australia Pty Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Sewon E&C Co Ltd,Electrical Equipment,South Korea,Worley Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
ABB Ltd,Electrical Equipment,Switzerland,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
ABB Ltd,Electrical Equipment,Switzerland,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
ABB Ltd,Electrical Equipment,Switzerland,Perenti Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
NOW Inc,Oil & Gas Services & Equip,Usa,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Aeris Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Fortescue Ltd,Metals & Mining,Australia,AGL Energy Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Aurelia Metals Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Incitec Pivot Ltd,Chemicals,Australia,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Chinova Resources Pty Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Consolidated Minerals Pty Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Evolution Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Incitec Pivot Ltd,Chemicals,Australia,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,IGO Forrestania Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Mineral Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,Mineral Resources ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Newcrest Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Panoramic Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Perenti Ltd,Metals & Mining,Australia,Sandfire Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Aurizon Holdings Ltd,Transportation & Logistics,Australia,South32 Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Vale SA,Metals & Mining,Brazil,South32 Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Allegiance Coal Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Austral Gold Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
TransAlta Corp,Electric Utilities,Canada,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Champion Iron Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
TransAlta Corp,Electric Utilities,Canada,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Matador Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
TransAlta Corp,Electric Utilities,Canada,Northern Star Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Paladin Energy Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Polarx Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,South32 Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Altius Minerals Corp,Metals & Mining,Canada,Technology Metals Australia Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Colbun SA,Electric Utilities,Chile,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Sigdo Koppers SA,Chemicals,Chile,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
CAP SA,Metals & Mining,Chile,Hot Chili Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Enaex SA,Chemicals,Chile,Orica Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Sigdo Koppers SA,Chemicals,Chile,Orica Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Minmetals Development Co Ltd,Metals & Mining,China,Minmetals Australia Pty Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Zhejiang JULI Hi-tech Metals Co Ltd,Steel,China,Worley Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Metso Oyj,Machinery,Finland,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Metso Oyj,Machinery,Finland,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Metso Oyj,Machinery,Finland,Karara Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Wartsila OYJ Abp,Machinery,Finland,Origin Energy Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Metso Oyj,Machinery,Finland,Sandfire Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
TotalEnergies SE,Oil & Gas Producers,France,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,AGL Energy Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Alcoa of Australia Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,APA Group,Gas & Water Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,BHP Billiton Mitsubishi Alliance,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
thyssenkrupp AG,Steel,Germany,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Genex Power Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Heron Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Jellinbah Group Pty Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Daimler Truck Holding AG,Transportation Equipment,Germany,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Mercedes-Benz Group AG,Automotive,Germany,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,NBN Co Ltd,Telecommunications,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Origin Energy Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Pacific National Holdings Pty Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Pacific National Pty Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Qube Holdings Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Queensland Electricity Transmission Corp Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Santos Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Stanwell Corp Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,SunWater Ltd,Gas & Water Utilities,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Telstra Group Ltd,Telecommunications,Australia,suppliesTo,locatedIn,operatesIn
HOCHTIEF AG,Engineering & Construction,Germany,Woodside Energy Group Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Indian Oil Corp Ltd,Oil & Gas Producers,India,Blue Energy Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Tata Steel Ltd,Steel,India,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Pertamina Persero PT,Oil & Gas Producers,Indonesia,Energy World Corp Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Ancora Indonesia Resources Tbk,Metals & Mining,Indonesia,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Steel Pipe Industry of Indonesia PT,Steel,Indonesia,J Steel Australasia Pty Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Bakrie and Brothers Tbk PT,Steel,Indonesia,Newcrest Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
PP Persero Tbk PT,Engineering & Construction,Indonesia,Nickel Industries Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Ancora Indonesia Resources Tbk,Metals & Mining,Indonesia,Orica Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Enel SpA,Electric Utilities,Italy,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Toyota Industries Corp,Automotive,Japan,Australian Postal Corp,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Komatsu Ltd,Machinery,Japan,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Komatsu Ltd,Machinery,Japan,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Komatsu Ltd,Machinery,Japan,Macmahon Holdings Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Hino Motors Ltd,Transportation Equipment,Japan,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Isuzu Motors Ltd,Transportation Equipment,Japan,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Toyota Motor Corp,Automotive,Japan,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Komatsu Ltd,Machinery,Japan,NRW Holdings Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Sumitomo Chemical Co Ltd,Chemicals,Japan,Nufarm Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Tenaris SA,Steel,Luxembourg,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Akzo Nobel NV,Chemicals,Netherlands,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Vinci SA,Engineering & Construction,Poland,Victorian Ports Corp Melbourne,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Eskom Holdings SOC Ltd,Electric Utilities,South Africa,MC Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Eskom Holdings SOC Ltd,Electric Utilities,South Africa,South32 Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
LG Energy Solution Ltd,Automotive,South Korea,Australian Mines Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Hyundai Rotem Co Ltd,Transportation Equipment,South Korea,Downer EDI Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Pan Ocean Co Ltd,Transportation & Logistics,South Korea,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,Lendlease Corp Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Hyundai Motor Co,Automotive,South Korea,Liontown Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
LG Energy Solution Ltd,Automotive,South Korea,Liontown Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
LG Energy Solution Ltd,Automotive,South Korea,Vulcan Energy Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
SSAB AB,Steel,Sweden,Austin Engineering Ltd,Machinery,Australia,suppliesTo,locatedIn,operatesIn
Sandvik AB,Machinery,Sweden,Macmahon Holdings Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
SKF AB,Industrial Intermediate Prod,Sweden,MaxiPARTS Ltd,Transportation Equipment,Australia,suppliesTo,locatedIn,operatesIn
Sandvik AB,Machinery,Sweden,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Volvo AB,Transportation Equipment,Sweden,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
SSAB AB,Steel,Sweden,Neometals Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Volvo AB,Transportation Equipment,Sweden,Public Transport Authority of Western Australia,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
SSAB AB,Steel,Sweden,Schlam Engineering Pty Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Austral Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Evolution Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,GLNG Operations Pty Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Jellinbah Group Pty Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Snowy Hydro Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,State of South Australia Department of Planning Transportation,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Sydney Metro,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,Switzerland,Viva Energy Group Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Austral Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Shell PLC,Oil & Gas Producers,United Kingdom,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Rio Tinto PLC,Metals & Mining,United Kingdom,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Shell PLC,Oil & Gas Producers,United Kingdom,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Rio Tinto PLC,Metals & Mining,United Kingdom,Energy Resources of Australia Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Evolution Mining Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,GLNG Operations Pty Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Jellinbah Group Pty Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Rio Tinto PLC,Metals & Mining,United Kingdom,Monadelphous Group Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Severfield PLC,Engineering & Construction,United Kingdom,Robert Bird Group Pty Ltd,Engineering & Construction,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Snowy Hydro Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,State of South Australia Department of Planning Transportation,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Sydney Metro,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Glencore PLC,Metals & Mining,United Kingdom,Viva Energy Group Ltd,Oil & Gas Producers,Australia,suppliesTo,locatedIn,operatesIn
Fluence Energy Inc,Renewable Energy,USA,AGL Energy Ltd,Electric Utilities,Australia,suppliesTo,locatedIn,operatesIn
Chevron Corp,Oil & Gas Producers,USA,Alcoa of Australia Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Coronado Global Resources Inc,Metals & Mining,USA,Aurizon Holdings Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
Jacobs Solutions Inc,Engineering & Construction,USA,Australia Pacific Airports Corp Ltd,Transportation & Logistics,Australia,suppliesTo,locatedIn,operatesIn
AES Corp/The,Electric Utilities,USA,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Caterpillar Inc,Machinery,USA,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Fluor Corp,Engineering & Construction,USA,BHP Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Exxon Mobil Corp,Oil & Gas Producers,USA,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Worthington Enterprises Inc,Steel,USA,BlueScope Steel Ltd,Steel,Australia,suppliesTo,locatedIn,operatesIn
Caterpillar Inc,Machinery,USA,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Plug Power Inc,Renewable Energy,USA,Fortescue Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Fluor Corp,Engineering & Construction,USA,Iluka Resources Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
KBR Inc,Technology Services,USA,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
WEC Energy Group Inc,Electric Utilities,USA,Incitec Pivot Ltd,Chemicals,Australia,suppliesTo,locatedIn,operatesIn
Caterpillar Inc,Machinery,USA,Macmahon Holdings Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
Caterpillar Inc,Machinery,USA,Metarock Group Ltd,Metals & Mining,Australia,suppliesTo,locatedIn,operatesIn
